Вхождение,Регистрозависимое,Полное слово,Куда
English,y,y,Английский
therap,,,Психология
theatre,,,Искусство
fine art,,,Искусство
music,,,Искусство
drama,,,Искусство
photograph,,,Арт и дизайн
illustrat,,,Арт и дизайн
animation,,,Арт и дизайн
war,,y,Международые отношения
MBA,y,,Бизнес
entreprene,,,Бизнес
HR,y,y,Менеджмент
human resour,,,Менеджмент
robot,,,Инженерия
fintech,,,Финансы
accounting,,,Финансы
investm,,,Финансы
interior,,,Архитектура
hotel,,,Гостеприимство
event management,,y,Гостеприимство и туризм
touris,,,Гостеприимство и туризм
hospitalit,,,Гостеприимство
justice,,,Юриспруденция
LLB,y,,Юриспруденция
Law,y,y,Юриспруденция
psycho,,,Психология
fashion,,,Мода
textile,,,Мода
actuar,,,Финансы
international relat,,,Международые отношения
politic,,,Международые отношения
public polic,,,Международые отношения
affair,,,Международые отношения
governance,,,Международые отношения
european,,,Международые отношения
artificial,,,IT
information technolog,,,IT
machine learning,,,IT
data science,,,IT
comput,,,IT
software,,,IT
cyber,,,IT
computer science,,y,IT
architect,,,Архитектура
engineer,,,Инженерия
product desig,,,Инженерия
TV,y,,Медиа
television,,,Медиа
podcast,,,Медиа
journal,,,Медиа
media,,,Медиа
film,,y,Медиа
filmmaking,,y,Медиа
public relat,,,Медиа
landscape,,,Архитектура
graphic,,y,Арт и дизайн
visual,,y,Арт и дизайн
design,,y,Арт и дизайн
financ,,,Финансы
econom,,,Экономика
AI,y,y,IT
marketing,,,Маркетинг
business,,,Бизнес
management,,,Менеджмент
administr,,,Менеджмент
sport,,,Спорт
communic,,,Медиа
,   ,,
,,,
 ,,,
